ID            : 5114
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 12
A2            : 2
Z1            : 6
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.035	4.900	0.380	0.98300	0.98041	0.01102	0.01102	0.05533	0.05533
0.045	6.000	0.370	0.97500	0.99235	0.01184	0.01184	2.14712	2.14712
0.055	7.200	0.360	1.00400	1.00158	0.01361	0.01361	0.03164	0.03164
0.070	8.800	0.340	1.02500	1.01151	0.01191	0.01191	1.28250	1.28250
0.090	11.000	0.330	1.03900	1.02003	0.01365	0.01365	1.93133	1.93133
0.125	14.000	0.310	1.02700	1.02612	0.01108	0.01108	0.00637	0.00637
0.175	17.000	0.270	1.02400	1.02362	0.01363	0.01363	0.00077	0.00077
0.250	21.000	0.230	1.01000	1.00806	0.01361	0.01361	0.02033	0.02033
0.350	26.000	0.210	0.97400	0.97966	0.01908	0.01908	0.08786	0.08786
0.450	31.000	0.190	1.02100	0.94983	0.03087	0.03087	5.31611	5.31611
0.550	37.000	0.190	0.97000	0.92074	0.04655	0.04655	1.11968	1.11968
0.650	42.000	0.170	0.84600	0.89396	0.06249	0.06249	0.58910	0.58910
