ID            : 5116
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 207
A2            : 12
Z1            : 103.5
Z2            : 6
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.018	4.500	0.690	0.92100	0.92828	0.04318	0.04318	0.02840	0.02840
0.025	6.100	0.660	0.93800	0.96100	0.02483	0.02483	0.85802	0.85802
0.035	8.000	0.620	0.96200	0.98620	0.02009	0.02009	1.45065	1.45065
0.045	9.800	0.590	0.98200	1.00074	0.02090	0.02090	0.80411	0.80411
0.055	11.600	0.570	1.01400	1.00959	0.02035	0.02035	0.04691	0.04691
0.070	13.900	0.540	1.02800	1.01619	0.01715	0.01715	0.47375	0.47375
0.090	16.900	0.510	1.01000	1.01911	0.01732	0.01732	0.27655	0.27655
0.125	21.400	0.470	1.01400	1.01713	0.01375	0.01375	0.05187	0.05187
0.175	27.500	0.430	1.02100	1.00946	0.01653	0.01653	0.48758	0.48758
0.250	35.500	0.390	0.99600	0.99595	0.01575	0.01575	0.00001	0.00001
0.350	45.300	0.350	0.97300	0.97985	0.02588	0.02588	0.07002	0.07002
0.450	53.600	0.320	0.97000	0.96732	0.04331	0.04331	0.00383	0.00383
0.550	60.000	0.300	0.89400	0.95756	0.07024	0.07024	0.81896	0.81896
0.700	66.100	0.260	0.81000	0.94566	0.11183	0.11183	1.47144	1.47144
