ID            : 5143
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 56
A2            : 12
Z1            : 28
Z2            : 6
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.018	4.500	0.96500	0.95529	0.02632	0.02632	0.13609	0.13609
0.025	6.100	0.95100	0.97038	0.01791	0.01791	1.17079	1.17079
0.035	8.100	0.97700	0.98329	0.01791	0.01791	0.12336	0.12336
0.045	10.000	0.97300	0.99196	0.01714	0.01714	1.22412	1.22412
0.055	11.800	0.99900	0.99808	0.01791	0.01791	0.00265	0.00265
0.070	14.100	1.01000	1.00413	0.01360	0.01360	0.18596	0.18596
0.090	17.100	0.98100	1.00839	0.01434	0.01434	3.64560	3.64560
0.125	21.700	1.01900	1.01156	0.01158	0.01158	0.41303	0.41303
0.175	27.800	0.99700	1.00959	0.01360	0.01360	0.85664	0.85664
0.250	35.700	1.00100	1.00191	0.01360	0.01360	0.00452	0.00452
0.350	45.400	0.99000	0.99073	0.02061	0.02061	0.00126	0.00126
0.450	53.600	0.93100	0.98123	0.03411	0.03411	2.16795	2.16795
0.550	60.300	0.97200	0.97332	0.06017	0.06017	0.00048	0.00048
0.700	66.600	0.96500	0.96321	0.09346	0.09346	0.00037	0.00037
