ID            : 5156
TypeExp       : DIS
TypeTheo      : RSIG
TypeCurrent   : NCGAMMA
A1            : 3
A2            : 2
Z1            : 1.5
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.090	4.085	0.811	0.84660	1.00532	0.11721	0.11721	1.83375	1.83375
0.125	4.226	0.662	1.01100	1.00920	0.02565	0.02565	0.00494	0.00494
0.125	4.712	0.694	1.01300	1.00931	0.03289	0.03289	0.01261	0.01261
0.125	5.263	0.728	0.97070	1.00941	0.04709	0.04709	0.67581	0.67581
0.175	4.240	0.478	1.01300	1.01067	0.02641	0.02641	0.00780	0.00780
0.175	4.741	0.535	1.04000	1.01064	0.02930	0.02930	1.00384	1.00384
0.175	5.433	0.607	0.99690	1.01062	0.02669	0.02669	0.26415	0.26415
0.175	6.346	0.671	1.00100	1.01059	0.04375	0.04375	0.04807	0.04807
0.175	7.094	0.699	1.15200	1.01059	0.23485	0.23485	0.36257	0.36257
0.250	4.241	0.339	1.02500	1.00704	0.02407	0.02407	0.55695	0.55695
0.250	4.741	0.379	1.05600	1.00684	0.02569	0.02569	3.66113	3.66113
0.250	5.467	0.436	1.02300	1.00661	0.02340	0.02340	0.49068	0.49068
0.250	6.456	0.509	0.97770	1.00635	0.02508	0.02508	1.30488	1.30488
0.250	7.416	0.564	0.99590	1.00616	0.03226	0.03226	0.10106	0.10106
0.250	8.395	0.587	1.06100	1.00599	0.05233	0.05233	1.10479	1.10479
0.250	9.221	0.600	1.02900	1.00588	0.13323	0.13323	0.03013	0.03013
0.350	6.479	0.319	1.03000	0.99487	0.02479	0.02479	2.00871	2.00871
