ID            : 5157
TypeExp       : DIS
TypeTheo      : RSIG
TypeCurrent   : NCGAMMA
A1            : 14
A2            : 2
Z1            : 7
Z2            : 1
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.231	0.660	1.03700	1.02307	0.02553	0.02553	0.29781	0.29781
0.125	4.718	0.700	1.02800	1.02334	0.02618	0.02618	0.03173	0.03173
0.125	5.303	0.743	1.01600	1.02380	0.03206	0.03206	0.05918	0.05918
0.175	4.240	0.475	1.00900	1.02439	0.02908	0.02908	0.28014	0.28014
0.175	4.743	0.531	1.03000	1.02432	0.02411	0.02411	0.05542	0.05542
0.175	5.430	0.602	1.04200	1.02423	0.02672	0.02672	0.44202	0.44202
0.175	6.376	0.684	0.99990	1.02414	0.03229	0.03229	0.56331	0.56331
0.175	7.227	0.730	1.17300	1.02409	0.09628	0.09628	2.39188	2.39188
0.250	4.238	0.336	1.00600	1.01231	0.02601	0.02601	0.05886	0.05886
0.250	4.739	0.376	1.04000	1.01189	0.02233	0.02233	1.58583	1.58583
0.250	5.471	0.433	1.02100	1.01138	0.02054	0.02054	0.21948	0.21948
0.250	6.458	0.505	1.01400	1.01083	0.02209	0.02209	0.02054	0.02054
0.250	7.425	0.567	1.02900	1.01041	0.02619	0.02619	0.50364	0.50364
0.250	8.403	0.608	1.02900	1.01007	0.06361	0.06361	0.08858	0.08858
0.250	9.356	0.632	1.07600	1.00980	0.06567	0.06567	1.01625	1.01625
0.350	6.480	0.334	1.00700	0.98378	0.02562	0.02562	0.82168	0.82168
0.350	7.472	0.384	0.98380	0.98302	0.02697	0.02697	0.00084	0.00084
0.350	8.448	0.427	0.94950	0.98241	0.02558	0.02558	1.65544	1.65544
0.350	9.452	0.475	0.97070	0.98189	0.03094	0.03094	0.13092	0.13092
