ID            : 5159
TypeExp       : DIS
TypeTheo      : RF2
TypeCurrent   : NCGAMMA
A1            : 119
A2            : 12
Z1            : 59.5
Z2            : 6
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.013	4.500	0.90200	0.91409	0.04976	0.04976	0.05906	0.05906
0.013	5.500	0.92500	0.91363	0.05916	0.05916	0.03693	0.03693
0.013	7.000	0.93000	0.91360	0.09221	0.09221	0.03162	0.03162
0.018	4.500	0.93100	0.94020	0.03136	0.03136	0.08609	0.08609
0.018	5.500	0.92000	0.94018	0.03551	0.03551	0.32289	0.32289
0.018	7.000	0.93900	0.94065	0.03894	0.03894	0.00179	0.00179
0.018	9.000	0.97000	0.94151	0.07813	0.07813	0.13298	0.13298
0.025	4.500	0.94900	0.96146	0.01651	0.01651	0.56949	0.56949
0.025	5.500	0.96100	0.96243	0.01854	0.01854	0.00596	0.00596
0.025	7.000	0.97300	0.96403	0.01711	0.01711	0.27462	0.27462
0.025	9.000	0.98100	0.96595	0.02334	0.02334	0.41553	0.41553
0.025	11.500	0.98100	0.96794	0.03494	0.03494	0.13974	0.13974
0.035	4.500	0.97100	0.97500	0.01434	0.01434	0.07757	0.07757
0.035	5.500	0.96300	0.97708	0.01714	0.01714	0.67498	0.67498
0.035	7.000	0.98000	0.97990	0.01099	0.01099	0.00008	0.00008
0.035	9.000	0.99600	0.98297	0.01760	0.01760	0.54758	0.54758
0.035	11.500	0.99600	0.98595	0.01435	0.01435	0.49056	0.49056
0.035	15.000	0.99300	0.98906	0.02135	0.02135	0.03413	0.03413
0.035	20.000	0.92000	0.99221	0.12208	0.12208	0.34991	0.34991
0.045	4.500	1.00000	0.98193	0.02071	0.02071	0.76138	0.76138
0.045	5.500	0.97900	0.98467	0.01280	0.01280	0.19646	0.19646
0.045	7.000	0.97100	0.98817	0.01846	0.01846	0.86487	0.86487
0.045	9.000	1.01000	0.99195	0.02205	0.02205	0.67045	0.67045
0.045	11.500	1.00200	0.99539	0.01100	0.01100	0.36108	0.36108
0.045	15.000	0.99300	0.99902	0.01183	0.01183	0.25868	0.25868
0.045	20.000	1.01000	1.00267	0.02230	0.02230	0.10806	0.10806
0.055	4.500	1.01500	0.98637	0.03231	0.03231	0.78528	0.78528
0.055	5.500	1.00600	0.98942	0.01667	0.01667	0.98907	0.98907
0.055	7.000	0.99600	0.99320	0.02425	0.02425	0.01338	0.01338
0.055	9.000	1.01400	0.99709	0.01715	0.01715	0.97188	0.97188
0.055	11.500	1.00800	1.00080	0.01096	0.01096	0.43208	0.43208
0.055	15.000	1.00800	1.00460	0.01096	0.01096	0.09650	0.09650
0.055	20.000	1.01500	1.00842	0.01404	0.01404	0.21960	0.21960
0.055	27.000	0.98000	1.01200	0.03611	0.03611	0.78525	0.78525
0.070	4.500	1.02000	0.99128	0.01677	0.01677	2.93331	2.93331
0.070	5.500	0.99200	0.99439	0.01652	0.01652	0.02098	0.02098
0.070	7.000	0.99300	0.99808	0.01100	0.01100	0.21331	0.21331
0.070	9.000	1.01300	1.00185	0.01847	0.01847	0.36420	0.36420
0.070	11.500	1.01000	1.00538	0.01082	0.01082	0.18255	0.18255
0.070	15.000	1.01000	1.00901	0.00917	0.00917	0.01171	0.01171
0.070	20.000	1.00600	1.01356	0.01456	0.01456	0.26965	0.26965
0.070	27.000	1.02800	1.01608	0.01316	0.01316	0.81977	0.81977
0.070	36.000	0.94000	1.01903	0.05004	0.05004	2.49494	2.49494
0.090	4.500	0.99000	0.99639	0.04477	0.04477	0.02037	0.02037
0.090	5.500	1.00700	0.99916	0.02072	0.02072	0.14322	0.14322
0.090	7.000	1.01300	1.00235	0.01871	0.01871	0.32404	0.32404
0.090	9.000	1.02500	1.00553	0.01792	0.01792	1.18007	1.18007
0.090	11.500	1.01100	1.00851	0.01221	0.01221	0.04170	0.04170
0.090	15.000	1.01100	1.01155	0.00878	0.00878	0.00394	0.00394
0.090	20.000	1.02100	1.01463	0.01158	0.01158	0.30254	0.30254
0.090	27.000	0.99900	1.01753	0.01269	0.01269	2.13348	2.13348
0.090	36.000	1.00000	1.02003	0.02091	0.02091	0.91767	0.91767
0.125	4.500	1.00300	1.00242	0.02785	0.02785	0.00044	0.00044
0.125	5.500	1.02800	1.00432	0.02450	0.02450	0.93432	0.93432
0.125	7.000	0.99800	1.00642	0.01158	0.01158	0.52899	0.52899
0.125	9.000	1.00000	1.00845	0.01049	0.01049	0.64875	0.64875
0.125	11.500	1.01200	1.01031	0.00788	0.00788	0.04588	0.04588
0.125	15.000	1.01600	1.01225	0.00873	0.00873	0.18486	0.18486
0.125	20.000	1.00800	1.01415	0.01536	0.01536	0.16030	0.16030
0.125	27.000	1.02000	1.01599	0.00788	0.00788	0.25883	0.25883
0.125	36.000	1.00600	1.01757	0.01898	0.01898	0.37192	0.37192
0.125	48.000	1.01300	1.01897	0.01814	0.01814	0.10850	0.10850
0.125	65.000	1.03000	1.02025	0.10002	0.10002	0.00949	0.00949
0.175	4.500	0.96000	1.00520	0.04477	0.04477	1.01966	1.01966
0.175	5.500	1.04100	1.00607	0.02569	0.02569	1.84807	1.84807
0.175	7.000	1.03900	1.00693	0.02230	0.02230	2.06761	2.06761
0.175	9.000	1.00500	1.00772	0.01640	0.01640	0.02760	0.02760
0.175	11.500	1.02600	1.00842	0.01184	0.01184	2.20363	2.20363
0.175	15.000	0.99600	1.00911	0.00916	0.00916	2.04832	2.04832
0.175	20.000	1.00600	1.00984	0.01149	0.01149	0.11179	0.11179
0.175	27.000	1.00900	1.01054	0.01158	0.01158	0.01761	0.01761
0.175	36.000	1.01800	1.01113	0.01320	0.01320	0.27097	0.27097
0.175	48.000	0.99000	1.01166	0.01990	0.01990	1.18515	1.18515
0.175	65.000	1.00000	1.01212	0.05389	0.05389	0.05060	0.05060
0.250	5.500	1.03000	1.00105	0.05004	0.05004	0.33469	0.33469
0.250	7.000	0.99100	1.00093	0.02061	0.02061	0.23223	0.23223
0.250	9.000	0.98800	1.00076	0.01403	0.01403	0.82743	0.82743
0.250	11.500	1.01200	1.00058	0.01500	0.01500	0.57986	0.57986
0.250	15.000	1.00900	1.00038	0.01375	0.01375	0.39359	0.39359
0.250	20.000	1.00200	1.00017	0.01404	0.01404	0.01704	0.01704
0.250	27.000	1.00100	0.99998	0.01082	0.01082	0.00881	0.00881
0.250	36.000	1.01300	0.99982	0.01136	0.01136	1.34449	1.34449
0.250	48.000	1.00000	0.99967	0.01269	0.01269	0.00068	0.00068
0.250	65.000	1.02000	0.99950	0.01721	0.01721	1.41940	1.41940
0.250	110.000	1.04000	0.99916	0.05004	0.05004	0.66604	0.66604
0.350	9.000	0.92000	0.98853	0.05004	0.05004	1.87568	1.87568
0.350	11.500	0.98000	0.98794	0.04477	0.04477	0.03148	0.03148
0.350	15.000	0.99800	0.98734	0.01780	0.01780	0.35857	0.35857
0.350	20.000	1.00600	0.98673	0.01360	0.01360	2.00659	2.00659
0.350	27.000	0.98800	0.98616	0.03108	0.03108	0.00351	0.00351
0.350	36.000	0.97700	0.98566	0.01714	0.01714	0.25506	0.25506
0.350	48.000	1.01500	0.98519	0.02417	0.02417	1.52141	1.52141
0.350	65.000	0.99000	0.98474	0.01941	0.01941	0.07338	0.07338
0.350	110.000	0.98000	0.98402	0.03611	0.03611	0.01240	0.01240
0.450	15.000	0.96000	0.97603	0.05834	0.05834	0.07553	0.07553
0.450	20.000	0.99100	0.97534	0.02922	0.02922	0.28729	0.28729
0.450	27.000	0.96300	0.97470	0.02669	0.02669	0.19204	0.19204
0.450	36.000	0.98500	0.97412	0.02172	0.02172	0.25065	0.25065
0.450	48.000	0.94700	0.97360	0.03047	0.03047	0.76189	0.76189
0.450	65.000	0.92600	0.97309	0.03146	0.03146	2.24099	2.24099
0.450	110.000	0.94400	0.97230	0.03052	0.03052	0.85984	0.85984
0.550	20.000	1.07000	0.96598	0.08488	0.08488	1.50179	1.50179
0.550	27.000	0.97400	0.96535	0.03067	0.03067	0.07957	0.07957
0.550	36.000	1.00000	0.96479	0.06711	0.06711	0.27529	0.27529
0.550	48.000	0.94000	0.96427	0.06406	0.06406	0.14358	0.14358
0.550	65.000	1.05000	0.96378	0.05004	0.05004	2.96867	2.96867
0.550	110.000	1.02000	0.96302	0.07214	0.07214	0.62392	0.62392
0.700	36.000	0.82000	0.95300	0.15232	0.15232	0.76241	0.76241
0.700	48.000	0.93000	0.95260	0.10297	0.10297	0.04815	0.04815
0.700	65.000	0.94000	0.95222	0.05834	0.05834	0.04386	0.04386
0.700	110.000	0.77000	0.95165	0.19925	0.19925	0.83113	0.83113
