ID            : 5161
TypeExp       : DIS
TypeTheo      : F2
TypeCurrent   : NCGAMMA
A1            : 1
A2            : 0
Z1            : 1
Z2            : 0
KinVar        : [X, Q2 ]

X	Q2	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.036	4.260	0.38780	0.37359	0.03170	0.03170	0.20081	-0.06168
0.051	4.390	0.38930	0.37558	0.01220	0.01220	1.26491	0.43658
0.053	5.310	0.38950	0.38290	0.02860	0.02860	0.05331	-0.05480
0.070	4.420	0.38320	0.37664	0.00980	0.00980	0.44804	0.17608
0.070	5.380	0.37050	0.38197	0.01740	0.01740	0.43442	0.68578
0.071	6.380	0.37850	0.38620	0.03790	0.03790	0.04132	0.08277
0.090	4.430	0.37390	0.37552	0.01000	0.01000	0.02619	0.04267
0.090	5.440	0.35840	0.37936	0.01550	0.01550	1.82936	2.06353
0.090	6.500	0.40200	0.38261	0.02690	0.02690	0.51973	0.38933
0.110	4.450	0.36760	0.37265	0.01040	0.01040	0.23619	0.24203
0.111	5.440	0.35750	0.37511	0.01480	0.01480	1.41526	1.43306
0.110	6.600	0.37400	0.37757	0.02170	0.02170	0.02706	0.03183
0.140	4.450	0.36530	0.36604	0.00830	0.00830	0.00794	0.00511
0.140	5.460	0.36010	0.36741	0.01150	0.01150	0.40352	0.38436
0.141	6.690	0.37680	0.36812	0.01440	0.01440	0.36349	0.36247
0.180	4.460	0.37270	0.35410	0.01020	0.01020	3.32456	3.60321
0.181	5.460	0.33370	0.35403	0.01190	0.01190	2.91987	2.93533
0.180	6.770	0.36160	0.35387	0.01410	0.01410	0.30070	0.32205
0.177	8.500	0.39210	0.35455	0.03800	0.03800	0.97629	0.99974
0.226	4.470	0.32400	0.33576	0.00920	0.00920	1.63489	1.44502
0.226	5.470	0.34980	0.33465	0.01260	0.01260	1.44561	1.54105
0.228	6.810	0.32050	0.33211	0.01250	0.01250	0.86338	0.80233
0.222	8.640	0.30620	0.33330	0.02650	0.02650	1.04578	0.99335
0.274	4.470	0.30450	0.31116	0.01020	0.01020	0.42655	0.22508
0.276	5.440	0.30580	0.30775	0.01280	0.01280	0.02320	-0.00276
0.280	6.850	0.32000	0.30188	0.01390	0.01390	1.69890	1.92018
0.274	8.700	0.32370	0.30251	0.02700	0.02700	0.61584	0.67753
0.351	6.870	0.27590	0.25285	0.01030	0.01030	5.00841	6.03789
0.345	8.730	0.23980	0.25240	0.01630	0.01630	0.59766	0.42370
0.035	4.410	0.38250	0.37552	0.01030	0.01030	0.45933	-0.02658
0.037	5.320	0.40310	0.38501	0.02780	0.02780	0.42335	0.13178
0.050	4.470	0.36810	0.37621	0.00730	0.00730	1.23569	1.17518
0.050	5.430	0.37050	0.38392	0.00990	0.00990	1.83827	2.21424
0.052	6.610	0.40860	0.39098	0.01620	0.01620	1.18310	0.80463
0.070	4.480	0.36590	0.37702	0.00890	0.00890	1.56145	0.73337
0.070	5.470	0.38670	0.38244	0.01060	0.01060	0.16167	0.31184
0.070	6.860	0.39020	0.38826	0.01300	0.01300	0.02218	0.01369
0.072	8.620	0.45550	0.39326	0.03080	0.03080	4.08358	3.71027
0.091	4.470	0.36450	0.37563	0.01080	0.01080	1.06162	0.20209
0.090	5.480	0.38070	0.37948	0.01200	0.01200	0.01037	0.07183
0.090	6.810	0.38140	0.38321	0.01120	0.01120	0.02620	-0.03904
0.090	8.770	0.41580	0.38733	0.02210	0.02210	1.66011	1.67222
0.111	4.480	0.36540	0.37246	0.01320	0.01320	0.28569	-0.19542
0.111	5.490	0.37180	0.37512	0.01340	0.01340	0.06148	-0.12304
0.111	6.830	0.36460	0.37756	0.01170	0.01170	1.22745	0.51551
0.111	8.870	0.41450	0.38019	0.02090	0.02090	2.69429	3.06500
0.111	10.760	0.34620	0.38161	0.03570	0.03570	0.98385	0.92805
0.142	4.490	0.33640	0.36547	0.01020	0.01020	8.12431	4.48476
0.141	5.480	0.32580	0.36708	0.01010	0.01010	16.70267	12.52131
0.141	6.870	0.34590	0.36809	0.00870	0.00870	6.50675	3.81688
0.141	8.900	0.36820	0.36911	0.01470	0.01470	0.00379	-0.02878
0.142	11.010	0.39250	0.36883	0.02150	0.02150	1.21210	1.53146
0.187	4.500	0.34030	0.35189	0.01260	0.01260	0.84556	-0.32073
0.184	5.490	0.31980	0.35264	0.01190	0.01190	7.61806	4.88701
0.184	6.870	0.34610	0.35249	0.01010	0.01010	0.40061	-0.24288
0.181	8.940	0.33610	0.35253	0.01590	0.01590	1.06794	0.49838
0.182	11.150	0.36920	0.35129	0.01960	0.01960	0.83475	1.20942
0.229	4.560	0.31120	0.33429	0.01490	0.01490	2.40059	0.84536
0.231	5.470	0.31040	0.33225	0.01260	0.01260	3.00706	1.27836
0.231	6.920	0.31880	0.33036	0.00990	0.00990	1.36320	0.07278
0.228	8.840	0.30820	0.32979	0.01290	0.01290	2.80226	1.71557
0.228	11.240	0.36640	0.32713	0.01840	0.01840	4.55395	5.64283
0.280	5.540	0.29600	0.30491	0.01610	0.01610	0.30652	-0.09624
0.285	6.930	0.28660	0.29851	0.01060	0.01060	1.26265	0.29577
0.281	8.860	0.29460	0.29759	0.01400	0.01400	0.04573	-0.07904
0.279	11.270	0.28140	0.29483	0.01640	0.01640	0.67054	0.32805
0.279	14.190	0.29710	0.29077	0.02950	0.02950	0.04611	0.09375
0.341	7.080	0.26750	0.25956	0.01040	0.01040	0.58257	1.03573
0.353	8.860	0.25320	0.24632	0.01040	0.01040	0.43741	0.76566
0.353	11.330	0.23400	0.24096	0.01170	0.01170	0.35338	0.15858
0.352	14.320	0.26310	0.23645	0.01970	0.01970	1.83041	2.11202
0.433	9.020	0.16100	0.18464	0.01030	0.01030	5.26822	6.29320
0.463	11.360	0.16920	0.15776	0.00950	0.00950	1.44986	0.75893
0.472	14.390	0.15350	0.14561	0.01150	0.01150	0.47112	0.14985
0.018	4.340	0.40760	0.38453	0.01630	0.01630	2.00316	0.96734
0.024	4.540	0.39460	0.38171	0.01130	0.01130	1.30095	0.63939
0.025	5.450	0.39570	0.39329	0.01130	0.01130	0.04541	-0.14074
0.028	6.510	0.41770	0.40247	0.01590	0.01590	0.91796	0.20144
0.035	4.430	0.39670	0.37581	0.01570	0.01570	1.77062	1.33945
0.035	5.500	0.38850	0.38768	0.01350	0.01350	0.00368	-0.01719
0.035	6.960	0.42450	0.40037	0.01020	0.01020	5.59844	3.88573
0.037	8.650	0.39150	0.41011	0.01610	0.01610	1.33573	2.12160
0.049	4.460	0.37640	0.37611	0.01220	0.01220	0.00056	-0.00440
0.049	5.470	0.39920	0.38435	0.01310	0.01310	1.28477	1.08138
0.049	6.990	0.38510	0.39405	0.00890	0.00890	1.01098	1.23550
0.049	8.960	0.39390	0.40335	0.00940	0.00940	1.01141	1.58020
0.052	11.120	0.42820	0.40993	0.01180	0.01180	2.39657	1.16272
0.070	4.500	0.34140	0.37715	0.01840	0.01840	3.77477	3.75128
0.069	5.480	0.36440	0.38259	0.01920	0.01920	0.89797	0.98587
0.070	6.940	0.41260	0.38860	0.01350	0.01350	3.16034	3.06281
0.070	8.990	0.39420	0.39534	0.01200	0.01200	0.00901	0.01629
0.070	11.390	0.42450	0.40063	0.01120	0.01120	4.54325	3.80327
0.071	14.460	0.39200	0.40538	0.01410	0.01410	0.90048	1.47649
0.089	5.500	0.35890	0.37975	0.02830	0.02830	0.54255	0.56538
0.090	6.960	0.40480	0.38376	0.01690	0.01690	1.55039	1.73793
0.090	8.960	0.36140	0.38774	0.01390	0.01390	3.59036	3.23910
0.090	11.450	0.38040	0.39134	0.01210	0.01210	0.81795	0.77732
0.090	14.660	0.41900	0.39466	0.01400	0.01400	3.02381	2.71356
0.091	19.020	0.38560	0.39762	0.02420	0.02420	0.24657	0.41066
0.110	6.970	0.34790	0.37798	0.01810	0.01810	2.76204	2.62554
0.110	8.990	0.35220	0.38050	0.01610	0.01610	3.08910	2.66183
0.110	11.450	0.37310	0.38249	0.01370	0.01370	0.46945	0.34890
0.110	14.760	0.37340	0.38455	0.01360	0.01360	0.67259	0.61248
0.110	19.380	0.45670	0.38627	0.02480	0.02480	8.06575	7.91441
0.140	7.150	0.35020	0.36885	0.01950	0.01950	0.91479	0.73927
0.140	9.010	0.39040	0.36933	0.01780	0.01780	1.40179	1.66217
0.140	11.430	0.37130	0.36994	0.01150	0.01150	0.01401	0.05255
0.140	14.830	0.35370	0.37018	0.01040	0.01040	2.51232	2.06664
0.140	19.320	0.36160	0.37010	0.01280	0.01280	0.44088	0.32020
0.142	25.370	0.37940	0.36883	0.02780	0.02780	0.14444	0.13204
0.179	7.380	0.29160	0.35425	0.02430	0.02430	6.64675	6.31472
0.180	8.970	0.35040	0.35296	0.02020	0.02020	0.01605	-0.01321
0.182	11.440	0.34370	0.35105	0.01330	0.01330	0.30575	0.13664
0.180	14.860	0.35050	0.35019	0.01230	0.01230	0.00065	0.01013
0.180	19.420	0.35520	0.34841	0.01310	0.01310	0.26886	0.43802
0.180	25.900	0.37500	0.34625	0.02370	0.02370	1.47146	1.57589
0.223	9.150	0.32630	0.33215	0.02330	0.02330	0.06300	0.01620
0.226	11.470	0.33610	0.32759	0.01410	0.01410	0.36439	0.56495
0.226	14.900	0.30830	0.32453	0.01140	0.01140	2.02805	1.52545
0.225	19.530	0.32060	0.32173	0.01190	0.01190	0.00897	-0.02744
0.226	26.320	0.33090	0.31768	0.01960	0.01960	0.45493	0.58590
0.278	11.620	0.27300	0.29527	0.01530	0.01530	2.11778	1.74505
0.276	14.820	0.28850	0.29260	0.01330	0.01330	0.09490	-0.01153
0.276	19.590	0.28040	0.28747	0.01220	0.01220	0.33572	0.15362
0.276	26.490	0.27050	0.28205	0.01840	0.01840	0.39405	0.28133
0.276	33.920	0.33360	0.27794	0.03770	0.03770	2.17935	2.28972
0.342	15.020	0.21520	0.24315	0.00910	0.00910	9.43531	8.38785
0.347	19.650	0.22140	0.23395	0.00860	0.00860	2.13103	1.63343
0.347	26.200	0.20700	0.22767	0.01120	0.01120	3.40497	2.89887
0.349	34.490	0.24100	0.22059	0.02060	0.02060	0.98118	1.14580
0.455	20.050	0.14620	0.15039	0.00720	0.00720	0.33845	0.36048
0.474	26.220	0.12680	0.13184	0.00750	0.00750	0.45245	0.41035
0.477	34.800	0.10770	0.12514	0.01030	0.01030	2.86779	2.57998
0.013	4.450	0.41540	0.40128	0.00630	0.00630	5.01981	-2.27390
0.014	5.380	0.44690	0.41487	0.01120	0.01120	8.17649	2.30317
0.017	4.460	0.41250	0.38865	0.00850	0.00850	7.87029	2.40185
0.017	5.600	0.42420	0.40968	0.01050	0.01050	1.91348	-0.47271
0.018	6.730	0.42400	0.42223	0.00720	0.00720	0.06049	-0.60203
0.025	4.480	0.39100	0.38039	0.00760	0.00760	1.94765	0.38292
0.025	5.470	0.41070	0.39418	0.00820	0.00820	4.06035	0.86622
0.024	7.220	0.42100	0.41525	0.00680	0.00680	0.71568	-0.60118
0.025	8.880	0.44410	0.42668	0.00640	0.00640	7.41197	1.35518
0.028	10.790	0.47130	0.43455	0.01170	0.01170	9.86356	4.31455
0.035	4.480	0.41390	0.37646	0.01090	0.01090	11.79634	10.42302
0.035	5.490	0.39690	0.38750	0.01020	0.01020	0.84853	0.29728
0.035	6.860	0.40270	0.39952	0.00910	0.00910	0.12220	-0.22864
0.035	9.030	0.42210	0.41455	0.00790	0.00790	0.91303	0.03779
0.035	11.440	0.44060	0.42680	0.00630	0.00630	4.79991	0.08888
0.037	14.100	0.45660	0.43463	0.01090	0.01090	4.06290	0.31073
0.047	5.530	0.38720	0.38505	0.01100	0.01100	0.03829	-0.03095
0.049	6.930	0.39400	0.39359	0.00720	0.00720	0.00323	-0.03475
0.049	8.990	0.40080	0.40369	0.00760	0.00760	0.14448	0.37142
0.049	11.570	0.42570	0.41342	0.00600	0.00600	4.19158	2.36384
0.049	14.870	0.43170	0.42203	0.00530	0.00530	3.33167	-0.76298
0.053	18.900	0.45670	0.42662	0.00810	0.00810	13.79414	4.62138
0.066	7.320	0.37530	0.39084	0.01370	0.01370	1.28599	1.48548
0.070	8.930	0.39000	0.39476	0.01100	0.01100	0.18721	0.33049
0.070	11.470	0.40860	0.40079	0.00850	0.00850	0.84426	0.54380
0.069	15.010	0.41350	0.40701	0.00660	0.00660	0.96550	0.32841
0.070	19.650	0.42690	0.41246	0.00610	0.00610	5.60671	1.54553
0.072	25.560	0.47460	0.41620	0.01390	0.01390	17.65504	11.20239
0.086	9.350	0.35050	0.38970	0.01880	0.01880	4.34777	4.52233
0.090	11.490	0.40880	0.39148	0.01030	0.01030	2.82693	2.80608
0.090	14.970	0.39640	0.39515	0.00840	0.00840	0.02219	0.02862
0.089	19.880	0.40200	0.39892	0.00670	0.00670	0.21191	0.01440
0.090	26.070	0.40680	0.40149	0.00840	0.00840	0.39886	-0.29278
0.110	11.800	0.36640	0.38308	0.01320	0.01320	1.59585	1.34773
