ID            : 5202
TypeExp       : DY
TypeTheo      : RSIG
TypeCurrent   : DUMMYALL
A1            : 184
A2            : 9
Z1            : 74
Z2            : 4
KinVar        : [X, Q2, RS ]

X	Q2	RS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.250	20.250	38.760	0.97800	0.97242	0.04707	0.04707	0.01407	0.01407
0.350	20.250	38.760	0.93900	0.93781	0.02147	0.02147	0.00307	0.00307
0.450	20.250	38.760	0.93300	0.90841	0.02059	0.02059	1.42666	1.42666
0.550	20.250	38.760	0.91600	0.88261	0.02417	0.02417	1.90854	1.90854
0.650	20.250	38.760	0.89300	0.86080	0.03448	0.03448	0.87176	0.87176
0.750	20.250	38.760	0.83400	0.84146	0.05590	0.05590	0.01779	0.01779
0.850	20.250	38.760	0.76900	0.82533	0.11842	0.11842	0.22624	0.22624
0.950	20.250	38.760	1.03500	0.81132	0.90706	0.90706	0.06081	0.06081
0.250	30.250	38.760	0.96200	1.00128	0.06576	0.06576	0.35675	0.35675
0.350	30.250	38.760	1.02500	0.98017	0.02973	0.02973	2.27337	2.27337
0.450	30.250	38.760	0.95200	0.95821	0.02600	0.02600	0.05712	0.05712
0.550	30.250	38.760	0.95600	0.93462	0.03162	0.03162	0.45719	0.45719
0.650	30.250	38.760	0.89800	0.91382	0.04512	0.04512	0.12285	0.12285
0.750	30.250	38.760	1.06100	0.89518	0.09652	0.09652	2.95142	2.95142
0.850	30.250	38.760	0.69500	0.87833	0.15931	0.15931	1.32429	1.32429
0.250	42.250	38.760	0.86500	1.01639	0.28817	0.28817	0.27599	0.27599
0.350	42.250	38.760	0.92000	1.00361	0.04903	0.04903	2.90761	2.90761
0.450	42.250	38.760	1.02700	0.99169	0.04123	0.04123	0.73352	0.73352
0.550	42.250	38.760	0.97000	0.97305	0.04317	0.04317	0.00501	0.00501
0.650	42.250	38.760	0.98500	0.95636	0.06478	0.06478	0.19546	0.19546
0.750	42.250	38.760	0.74300	0.94010	0.07864	0.07864	6.28202	6.28202
0.850	42.250	38.760	0.76000	0.92469	0.20225	0.20225	0.66308	0.66308
0.350	56.250	38.760	0.99400	1.01371	0.13238	0.13238	0.02216	0.02216
0.450	56.250	38.760	1.01000	1.00774	0.06972	0.06972	0.00105	0.00105
0.550	56.250	38.760	1.04500	0.99810	0.07368	0.07368	0.40523	0.40523
0.650	56.250	38.760	0.92700	0.98644	0.08757	0.08757	0.46065	0.46065
0.750	56.250	38.760	1.03600	0.97398	0.19026	0.19026	0.10626	0.10626
0.850	56.250	38.760	1.84900	0.96137	0.66907	0.66907	1.76000	1.76000
