ID            : 5943
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.514	0.550	0.71445	0.68702	0.06651	0.05916	0.15973	0.11974
0.175	4.022	0.350	0.85482	0.91072	0.05874	0.05153	0.93897	1.54779
0.175	5.171	0.450	0.65238	0.72542	0.05782	0.04639	1.62960	2.20677
0.175	6.320	0.550	0.50730	0.56814	0.06086	0.05391	1.01941	1.70475
0.225	5.171	0.350	0.72667	0.78561	0.06521	0.04992	0.84111	1.36210
0.225	6.648	0.450	0.59721	0.60549	0.07355	0.04863	0.01493	0.13390
0.225	8.125	0.550	0.53213	0.45587	0.06793	0.06086	1.23967	1.18123
0.275	6.320	0.350	0.79154	0.65959	0.07935	0.05607	2.72544	3.91561
0.275	8.125	0.450	0.58780	0.49441	0.07982	0.05117	1.34839	3.45459
0.275	9.931	0.550	0.31918	0.35951	0.06650	0.05172	0.37478	0.73404
0.350	8.043	0.350	0.45314	0.48548	0.03442	0.03208	0.91265	1.11258
0.350	10.340	0.450	0.35272	0.35180	0.03693	0.03122	0.00018	0.00585
0.450	10.340	0.350	0.27863	0.29525	0.03076	0.02814	0.30363	0.30376
0.450	13.300	0.450	0.21476	0.20666	0.03635	0.02993	0.04654	0.05694
0.080	4.390	0.650	0.64236	0.67823	0.05357	0.05215	0.46753	0.51896
0.125	4.749	0.450	0.89226	0.85610	0.04875	0.04217	0.51829	0.75963
0.125	5.804	0.550	0.65188	0.70076	0.04421	0.03823	1.26140	1.90796
0.125	6.859	0.650	0.48578	0.57202	0.05349	0.04400	2.63496	3.46293
0.175	5.171	0.350	0.96355	0.91779	0.05442	0.04440	0.67203	0.93420
0.175	6.648	0.450	0.80476	0.73091	0.05213	0.04278	1.95515	2.76002
0.175	8.125	0.550	0.52102	0.57297	0.03977	0.03730	1.74779	2.02991
0.175	9.603	0.650	0.40789	0.44500	0.05295	0.04480	0.50412	0.93803
0.225	4.749	0.250	0.93321	0.99573	0.05791	0.05068	1.20732	1.55506
0.225	6.648	0.350	0.75460	0.78460	0.04566	0.04134	0.45818	0.63000
0.225	8.548	0.450	0.61083	0.60476	0.04691	0.03955	0.01295	-0.04527
0.225	10.450	0.550	0.44042	0.45584	0.03816	0.03710	0.17445	0.20929
0.225	12.350	0.650	0.30116	0.33701	0.04570	0.04184	0.62777	0.61812
0.275	5.804	0.250	0.86944	0.85047	0.05346	0.05105	0.11252	0.14315
0.275	8.125	0.350	0.58249	0.65369	0.04371	0.03797	2.70481	3.38485
0.275	10.450	0.450	0.48338	0.49017	0.04180	0.03845	0.03107	0.02922
0.275	12.770	0.550	0.33680	0.35702	0.03677	0.03539	0.31452	0.39505
0.350	7.387	0.250	0.62825	0.63847	0.03655	0.03242	0.09005	0.21184
0.350	10.340	0.350	0.49629	0.47603	0.02838	0.02687	0.48041	0.36044
0.350	13.300	0.450	0.35672	0.34524	0.02607	0.02552	0.18011	0.13929
0.350	16.250	0.550	0.28654	0.24085	0.03244	0.02717	1.95473	2.43955
0.450	9.497	0.250	0.34882	0.39563	0.02801	0.02575	2.84450	3.29471
0.450	13.300	0.350	0.30767	0.28533	0.02952	0.02339	0.55410	1.07870
0.450	17.100	0.450	0.19784	0.20010	0.02611	0.02176	0.00919	0.00611
0.550	16.250	0.350	0.15478	0.15077	0.02331	0.01788	0.02706	0.10001
0.550	20.890	0.450	0.10883	0.10296	0.02368	0.01892	0.05867	-0.01109
0.080	4.540	0.550	0.89416	0.81723	0.04444	0.04175	2.91420	2.89894
0.080	5.365	0.650	0.68031	0.69737	0.04723	0.03887	0.14316	0.41992
0.125	4.514	0.350	1.11633	1.04882	0.05407	0.04171	1.49788	2.44820
0.125	5.804	0.450	0.88606	0.86769	0.04169	0.03804	0.17248	0.06608
0.125	7.094	0.550	0.76521	0.71062	0.04328	0.03724	1.53835	2.12534
0.125	8.383	0.650	0.56227	0.58081	0.03725	0.03410	0.26596	0.43971
0.175	4.514	0.250	1.16939	1.13693	0.05138	0.04313	0.36575	0.27143
0.175	6.320	0.350	0.94913	0.92208	0.04436	0.04010	0.34142	0.35013
0.175	8.125	0.450	0.75770	0.73421	0.04348	0.03720	0.26979	0.29530
0.175	9.931	0.550	0.57228	0.57590	0.03694	0.03391	0.01353	0.02869
0.175	11.740	0.650	0.41690	0.44785	0.03397	0.03225	0.85696	1.01988
0.225	5.804	0.250	1.02622	0.99426	0.04508	0.04181	0.46507	0.60076
0.225	8.125	0.350	0.77823	0.78278	0.04116	0.03761	0.01774	0.02807
0.225	10.450	0.450	0.59271	0.60339	0.04642	0.03471	0.06023	0.18353
0.225	12.770	0.550	0.48267	0.45512	0.03663	0.03420	0.54222	0.64766
0.225	15.090	0.650	0.34101	0.33694	0.03842	0.03269	0.00907	0.02559
0.275	7.094	0.250	0.84681	0.84388	0.04628	0.03972	0.00173	-0.00251
0.275	9.931	0.350	0.55086	0.64829	0.03546	0.03326	7.65262	8.60091
0.275	12.770	0.450	0.49259	0.48640	0.03661	0.03384	0.02340	-0.01574
0.275	15.610	0.550	0.38456	0.35432	0.03445	0.03302	0.74727	0.71459
0.275	18.440	0.650	0.27202	0.25044	0.03833	0.03299	0.30761	0.38141
0.350	9.028	0.250	0.59641	0.62800	0.02827	0.02465	1.30602	1.57171
0.350	12.640	0.350	0.49269	0.46826	0.02834	0.02394	0.70796	0.88185
0.350	16.250	0.450	0.36063	0.33982	0.02630	0.02231	0.60005	0.75303
0.350	19.860	0.550	0.25510	0.23734	0.02354	0.02153	0.55036	0.68993
0.450	11.610	0.250	0.40168	0.38448	0.02210	0.02130	0.57202	0.55680
0.450	16.250	0.350	0.26782	0.27766	0.01987	0.01895	0.26113	0.27798
0.450	20.890	0.450	0.18112	0.19501	0.01800	0.01766	0.61504	0.63510
0.450	25.540	0.550	0.13056	0.13074	0.02206	0.01909	0.00023	0.00313
0.550	14.190	0.250	0.19413	0.20653	0.01974	0.01489	0.40973	0.56654
0.550	19.860	0.350	0.18592	0.14491	0.01757	0.01720	5.39259	5.60105
0.550	25.540	0.450	0.08557	0.09929	0.02364	0.01423	0.34179	0.63739
0.650	23.470	0.350	0.06505	0.06363	0.01272	0.01082	0.01113	-0.01733
0.650	30.180	0.450	0.06139	0.04257	0.01436	0.01363	1.70580	1.79241
0.045	4.115	0.750	0.75069	0.67180	0.06579	0.05354	1.40563	2.22228
0.080	4.390	0.450	1.04124	0.97670	0.05846	0.04210	1.17253	2.10036
0.080	5.365	0.550	0.94232	0.83416	0.04438	0.04128	5.81696	6.66069
0.080	6.341	0.650	0.78173	0.71266	0.04442	0.03935	2.35241	2.54922
0.080	7.316	0.750	0.66669	0.61547	0.05363	0.04733	0.88444	0.80371
0.125	5.335	0.350	1.10532	1.05970	0.04901	0.03966	0.81732	1.49794
0.125	6.859	0.450	0.94342	0.87643	0.04525	0.03763	2.11904	3.08704
0.125	8.383	0.550	0.75180	0.71803	0.03770	0.03467	0.76045	0.79066
0.125	9.908	0.650	0.60562	0.58740	0.03743	0.03356	0.21855	0.28135
0.125	11.430	0.750	0.50760	0.48599	0.04256	0.04088	0.24373	0.27288
0.175	5.335	0.250	1.11933	1.14127	0.04587	0.04079	0.25728	0.48989
0.175	7.469	0.350	0.96185	0.92475	0.04763	0.03848	0.56971	0.88880
0.175	9.603	0.450	0.73938	0.73622	0.03961	0.03494	0.00332	-0.01731
0.175	11.740	0.550	0.64387	0.57770	0.03533	0.03434	3.42742	3.51434
0.175	13.870	0.650	0.41149	0.44962	0.03089	0.03013	1.56255	1.70457
