ID            : 5945
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	4.514	0.550	1.56500	1.70120	0.12630	0.12630	1.16293	1.16293
0.175	4.022	0.350	1.65600	1.71234	0.09146	0.09146	0.37950	0.37950
0.175	5.171	0.450	1.61900	1.69129	0.11410	0.11410	0.40145	0.40145
0.175	6.320	0.550	1.57400	1.66902	0.14350	0.14350	0.43843	0.43843
0.225	5.171	0.350	1.43000	1.58590	0.08469	0.08469	3.38866	3.38866
0.225	6.648	0.450	1.39500	1.56135	0.10890	0.10890	2.33332	2.33332
0.225	8.125	0.550	1.33400	1.53804	0.13840	0.13840	2.17356	2.17356
0.275	6.320	0.350	1.31000	1.40497	0.10410	0.10410	0.83223	0.83223
0.275	8.125	0.450	1.31300	1.37816	0.11130	0.11130	0.34275	0.34275
0.350	8.043	0.350	1.04000	1.09405	0.07155	0.07155	0.57065	0.57065
0.350	10.341	0.450	0.99720	1.06609	0.08450	0.08450	0.66467	0.66467
0.450	10.341	0.350	0.69140	0.69659	0.07413	0.07413	0.00491	0.00491
0.080	4.390	0.650	1.58600	1.60339	0.12220	0.12220	0.02026	0.02026
0.125	4.749	0.450	1.66300	1.75113	0.06841	0.06841	1.65954	1.65954
0.125	5.804	0.550	1.79600	1.72698	0.08872	0.08872	0.60519	0.60519
0.125	6.859	0.650	1.57400	1.70336	0.13150	0.13150	0.96765	0.96765
0.175	5.171	0.350	1.64800	1.72448	0.06982	0.06982	1.19992	1.19992
0.175	6.648	0.450	1.64000	1.69951	0.07902	0.07902	0.56718	0.56718
0.175	8.125	0.550	1.72300	1.67454	0.10640	0.10640	0.20746	0.20746
0.175	9.603	0.650	1.47400	1.65151	0.12490	0.12490	2.01980	2.01980
0.225	4.749	0.250	1.60900	1.60973	0.07031	0.07031	0.00011	0.00011
0.225	6.648	0.350	1.58100	1.58204	0.07199	0.07199	0.00021	0.00021
0.225	8.548	0.450	1.59200	1.55459	0.08286	0.08286	0.20386	0.20386
0.225	10.447	0.550	1.45200	1.52937	0.11590	0.11590	0.44568	0.44568
0.275	5.804	0.250	1.45400	1.42291	0.07241	0.07241	0.18433	0.18433
0.275	8.125	0.350	1.31300	1.39025	0.06846	0.06846	1.27332	1.27332
0.275	10.447	0.450	1.40500	1.36158	0.10650	0.10650	0.16622	0.16622
0.275	12.769	0.550	1.29900	1.33675	0.10420	0.10420	0.13126	0.13126
0.350	7.387	0.250	1.15100	1.10669	0.05136	0.05136	0.74445	0.74445
0.350	10.341	0.350	1.12400	1.07071	0.04765	0.04765	1.25079	1.25079
0.350	13.296	0.450	1.01400	1.04226	0.06749	0.06749	0.17539	0.17539
0.350	16.251	0.550	1.03600	1.01887	0.08109	0.08109	0.04461	0.04461
0.450	9.497	0.250	0.70020	0.70563	0.05147	0.05147	0.01111	0.01111
0.450	13.296	0.350	0.54120	0.67177	0.04776	0.04776	7.47372	7.47372
0.450	17.095	0.450	0.62000	0.64720	0.05445	0.05445	0.24957	0.24957
0.550	16.251	0.350	0.34960	0.36488	0.04450	0.04450	0.11796	0.11796
0.550	20.894	0.450	0.33520	0.34687	0.04512	0.04512	0.06688	0.06688
0.080	4.540	0.550	1.71000	1.66448	0.08023	0.08023	0.32188	0.32188
0.080	5.365	0.650	1.65900	1.63760	0.09013	0.09013	0.05638	0.05638
0.125	4.514	0.350	1.70200	1.79554	0.05104	0.05104	3.35872	3.35872
0.125	5.804	0.450	1.82800	1.77117	0.06298	0.06298	0.81416	0.81416
0.125	7.094	0.550	1.71700	1.74447	0.06988	0.06988	0.15453	0.15453
0.125	8.383	0.650	1.78600	1.71895	0.09714	0.09714	0.47640	0.47640
0.175	4.514	0.250	1.70700	1.75561	0.05280	0.05280	0.84758	0.84758
0.175	6.320	0.350	1.75100	1.73114	0.05762	0.05762	0.11877	0.11877
0.175	8.125	0.450	1.60800	1.70338	0.06795	0.06795	1.97038	1.97038
0.175	9.931	0.550	1.61700	1.67648	0.07292	0.07292	0.66536	0.66536
0.175	11.737	0.650	1.47800	1.65206	0.10010	0.10010	3.02352	3.02352
0.225	5.804	0.250	1.50700	1.60776	0.05167	0.05167	3.80246	3.80246
0.225	8.125	0.350	1.53100	1.57674	0.05691	0.05691	0.64598	0.64598
0.225	10.447	0.450	1.50200	1.54732	0.06422	0.06422	0.49799	0.49799
0.225	12.769	0.550	1.43100	1.52078	0.08440	0.08440	1.13145	1.13145
0.225	15.090	0.650	1.68200	1.49737	0.11300	0.11300	2.66956	2.66956
0.275	7.094	0.250	1.35400	1.41200	0.05663	0.05663	1.04912	1.04912
0.275	9.931	0.350	1.30900	1.37714	0.06744	0.06744	1.02094	1.02094
0.275	12.769	0.450	1.38400	1.34740	0.07275	0.07275	0.25316	0.25316
0.275	15.606	0.550	1.41800	1.32150	0.10080	0.10080	0.91647	0.91647
0.275	18.443	0.650	1.32200	1.29933	0.11650	0.11650	0.03786	0.03786
0.350	9.028	0.250	1.09100	1.08846	0.03508	0.03508	0.00523	0.00523
0.350	12.640	0.350	1.03600	1.05185	0.03975	0.03975	0.15908	0.15908
0.350	16.251	0.450	0.96520	1.02318	0.04846	0.04846	1.43139	1.43139
0.350	19.862	0.550	1.06000	0.99972	0.06265	0.06265	0.92583	0.92583
0.450	11.608	0.250	0.61210	0.68567	0.02822	0.02822	6.79705	6.79705
0.450	16.251	0.350	0.62010	0.65280	0.03233	0.03233	1.02285	1.02285
0.450	20.894	0.450	0.48820	0.62901	0.04553	0.04553	9.56481	9.56481
0.450	25.537	0.550	0.54130	0.61072	0.05169	0.05169	1.80387	1.80387
0.550	14.187	0.250	0.34930	0.37505	0.02211	0.02211	1.35601	1.35601
0.550	19.862	0.350	0.30970	0.35026	0.02643	0.02643	2.35544	2.35544
0.550	25.537	0.450	0.34060	0.33363	0.03981	0.03981	0.03062	0.03062
0.650	23.473	0.350	0.16980	0.15698	0.02214	0.02214	0.33552	0.33552
0.650	30.180	0.450	0.18680	0.14706	0.03249	0.03249	1.49612	1.49612
0.045	4.115	0.750	1.58100	1.40360	0.12920	0.12920	1.88521	1.88521
0.080	4.390	0.450	1.89500	1.72101	0.06753	0.06753	6.63806	6.63806
0.080	5.365	0.550	1.78800	1.69282	0.06338	0.06338	2.25523	2.25523
0.080	6.341	0.650	1.67700	1.66412	0.06997	0.06997	0.03387	0.03387
0.080	7.316	0.750	1.93700	1.63802	0.12520	0.12520	5.70245	5.70245
0.125	5.335	0.350	1.81400	1.81294	0.05356	0.05356	0.00039	0.00039
0.125	6.859	0.450	1.76600	1.78576	0.06066	0.06066	0.10607	0.10607
0.125	8.383	0.550	1.82400	1.75705	0.06623	0.06623	1.02185	1.02185
0.125	9.908	0.650	1.77900	1.73004	0.07387	0.07387	0.43920	0.43920
0.125	11.432	0.750	1.62300	1.70639	0.12970	0.12970	0.41343	0.41343
0.175	5.335	0.250	1.75600	1.76267	0.05221	0.05221	0.01632	0.01632
0.175	7.469	0.350	1.70500	1.73481	0.05902	0.05902	0.25514	0.25514
0.175	9.603	0.450	1.70300	1.70492	0.05669	0.05669	0.00115	0.00115
0.175	11.737	0.550	1.56200	1.67657	0.06037	0.06037	3.60155	3.60155
0.175	13.871	0.650	1.73700	1.65104	0.09404	0.09404	0.83550	0.83550
0.175	16.005	0.750	1.82200	1.62898	0.14650	0.14650	1.73587	1.73587
0.225	4.115	0.150	1.52400	1.63545	0.07620	0.07620	2.13931	2.13931
0.225	6.859	0.250	1.52300	1.60447	0.05049	0.05049	2.60390	2.60390
