ID            : 792
TypeExp       : DISDIMU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 28
Z2            : 0
KinVar        : [X, Y, EHAD, EPS ]

X	Y	EHAD	EPS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.069	0.355	87.400	0.424	0.48900	0.50303	0.17354	0.17354	0.00654	0.00654
0.111	0.355	87.400	0.424	0.27500	0.36523	0.12659	0.12659	0.50806	0.50806
0.210	0.355	87.400	0.424	0.12600	0.14964	0.04201	0.04201	0.31669	0.31669
0.041	0.596	87.400	0.615	1.53000	0.79029	0.39493	0.39493	3.50821	3.50821
0.069	0.596	87.400	0.610	0.67100	0.67944	0.22000	0.22000	0.00147	0.00147
0.111	0.596	87.400	0.621	0.70900	0.51661	0.20555	0.20555	0.87607	0.87607
0.210	0.596	87.400	0.627	0.18900	0.22013	0.05869	0.05869	0.28133	0.28133
0.041	0.802	87.400	0.707	1.17000	0.82702	0.31112	0.31112	1.21528	1.21528
0.069	0.802	87.400	0.714	1.13000	0.75206	0.32420	0.32420	1.35900	1.35900
0.111	0.802	87.400	0.708	1.01000	0.56804	0.30017	0.30017	2.16791	2.16791
0.210	0.802	87.400	0.716	0.32300	0.24595	0.11709	0.11709	0.43308	0.43308
0.041	0.355	160.520	0.640	1.26000	1.00271	0.39525	0.39525	0.42376	0.42376
0.069	0.355	160.520	0.644	0.93500	0.82258	0.29954	0.29954	0.14086	0.14086
0.111	0.355	160.520	0.643	0.60000	0.58809	0.19104	0.19104	0.00388	0.00388
0.210	0.355	160.520	0.660	0.23400	0.24525	0.07885	0.07885	0.02035	0.02035
0.041	0.596	160.520	0.773	1.86000	1.12288	0.54333	0.54333	1.84057	1.84057
0.069	0.596	160.520	0.773	1.23000	0.93950	0.37426	0.37426	0.60247	0.60247
0.111	0.596	160.520	0.778	0.79400	0.68482	0.25620	0.25620	0.18161	0.18161
0.210	0.596	160.520	0.777	0.21700	0.28015	0.07118	0.07118	0.78731	0.78731
0.018	0.802	160.520	0.832	2.32000	1.15482	0.58851	0.58851	3.91990	3.91990
0.041	0.802	160.520	0.831	2.24000	1.12625	0.60698	0.60698	3.36692	3.36692
0.069	0.802	160.520	0.833	2.11000	0.96646	0.58363	0.58363	3.83907	3.83907
0.111	0.802	160.520	0.827	0.95800	0.70108	0.28770	0.28770	0.79752	0.79752
0.210	0.802	160.520	0.836	0.23300	0.29174	0.07951	0.07951	0.54578	0.54578
0.041	0.355	265.760	0.771	1.27000	1.30678	0.39429	0.39429	0.00870	0.00870
0.069	0.355	265.760	0.772	1.49000	1.04577	0.45116	0.45116	0.96952	0.96952
0.111	0.355	265.760	0.777	0.60700	0.73792	0.18907	0.18907	0.47953	0.47953
0.210	0.355	265.760	0.770	0.15100	0.29112	0.04904	0.04904	8.16362	8.16362
0.018	0.596	265.760	0.857	3.28000	1.55371	1.00320	1.00320	2.96107	2.96107
0.041	0.596	265.760	0.866	2.16000	1.38003	0.67516	0.67516	1.33455	1.33455
0.069	0.596	265.760	0.860	1.50000	1.11050	0.50140	0.50140	0.60346	0.60346
0.111	0.596	265.760	0.859	1.18000	0.78130	0.41503	0.41503	0.92285	0.92285
0.210	0.596	265.760	0.865	0.24300	0.31255	0.08721	0.08721	0.63608	0.63608
0.018	0.802	265.760	0.891	3.60000	1.44550	0.84381	0.84381	6.51932	6.51932
0.041	0.802	265.760	0.896	1.98000	1.34481	0.53648	0.53648	1.40187	1.40187
0.069	0.802	265.760	0.897	1.07000	1.10782	0.33563	0.33563	0.01270	0.01270
0.111	0.802	265.760	0.896	0.73400	0.78398	0.23308	0.23308	0.04598	0.04598
0.210	0.802	265.760	0.899	0.29500	0.31301	0.10512	0.10512	0.02936	0.02936
