ID            : 793
TypeExp       : DISDIMU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 28
Z2            : 0
KinVar        : [X, Y, EHAD, EPS ]

X	Y	EHAD	EPS	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.102	0.334	90.180	0.369	0.45930	0.49692	0.06935	0.06935	0.29429	0.29429
0.168	0.334	90.180	0.376	0.33150	0.35105	0.04965	0.04965	0.15503	0.15503
0.324	0.334	90.180	0.393	0.12400	0.14523	0.01924	0.01924	1.21759	1.21759
0.058	0.573	90.180	0.582	0.95030	0.87889	0.11132	0.11132	0.41142	0.41142
0.102	0.573	90.180	0.576	0.88010	0.72359	0.10370	0.10370	2.27806	2.27806
0.168	0.573	90.180	0.593	0.49720	0.52668	0.06236	0.06236	0.22349	0.22349
0.324	0.573	90.180	0.595	0.19100	0.21072	0.02717	0.02717	0.52703	0.52703
0.058	0.790	90.180	0.676	1.10400	0.94829	0.13612	0.13612	1.30851	1.30851
0.102	0.790	90.180	0.691	0.94880	0.82787	0.12593	0.12593	0.92213	0.92213
0.168	0.790	90.180	0.678	0.76320	0.58163	0.10812	0.10812	2.82054	2.82054
0.324	0.790	90.180	0.694	0.20580	0.23797	0.03821	0.03821	0.70873	0.70873
0.058	0.334	174.370	0.616	0.92050	1.06316	0.12827	0.12827	1.23691	1.23691
0.102	0.334	174.370	0.633	0.78430	0.86065	0.11136	0.11136	0.47007	0.47007
0.168	0.334	174.370	0.628	0.49730	0.58402	0.07170	0.07170	1.46288	1.46288
0.324	0.334	174.370	0.637	0.20250	0.22899	0.02844	0.02844	0.86767	0.86767
0.058	0.573	174.370	0.754	1.33700	1.22045	0.17725	0.17725	0.43234	0.43234
0.102	0.573	174.370	0.761	1.25600	0.98411	0.17901	0.17901	2.30685	2.30685
0.168	0.573	174.370	0.765	0.72340	0.67939	0.10723	0.10723	0.16843	0.16843
0.324	0.573	174.370	0.770	0.23600	0.26257	0.03821	0.03821	0.48364	0.48364
0.021	0.790	174.370	0.818	1.66900	1.32396	0.18074	0.18074	3.64444	3.64444
0.058	0.790	174.370	0.818	1.57600	1.25361	0.17871	0.17871	3.25441	3.25441
0.102	0.790	174.370	0.822	1.22200	1.02125	0.15472	0.15472	1.68347	1.68347
0.168	0.790	174.370	0.822	0.85180	0.70424	0.11968	0.11968	1.52009	1.52009
0.324	0.790	174.370	0.826	0.24810	0.27179	0.04031	0.04031	0.34524	0.34524
0.058	0.334	244.720	0.721	1.41500	1.27777	0.19893	0.19893	0.47587	0.47587
0.102	0.334	244.720	0.715	0.96430	0.98186	0.13309	0.13309	0.01741	0.01741
0.168	0.334	244.720	0.719	0.73020	0.66655	0.10382	0.10382	0.37590	0.37590
0.324	0.334	244.720	0.722	0.26680	0.25424	0.03612	0.03612	0.12089	0.12089
0.021	0.573	244.720	0.823	1.73900	1.61264	0.23421	0.23421	0.29107	0.29107
0.058	0.573	244.720	0.821	1.61600	1.37549	0.23554	0.23554	1.04264	1.04264
0.102	0.573	244.720	0.814	1.11500	1.06723	0.16636	0.16636	0.08244	0.08244
0.168	0.573	244.720	0.827	0.73800	0.73142	0.11611	0.11611	0.00321	0.00321
0.324	0.573	244.720	0.831	0.28760	0.27663	0.04610	0.04610	0.05667	0.05667
0.021	0.790	244.720	0.873	2.14500	1.53979	0.22997	0.22997	6.92609	6.92609
0.058	0.790	244.720	0.877	1.85300	1.39823	0.21639	0.21639	4.41680	4.41680
0.102	0.790	244.720	0.875	1.37400	1.10367	0.17998	0.17998	2.25598	2.25598
0.168	0.790	244.720	0.873	1.04500	0.74521	0.14143	0.14143	4.49331	4.49331
0.324	0.790	244.720	0.876	0.30810	0.28047	0.04727	0.04727	0.34184	0.34184
